NO,SEX,AGE,MSTATUS,CHILD,NOCHILD,EDU,OCC,INCOME,NOINCOM,HPROB,WELFARE,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,NEED7,NEED8,NEED9,NEED10,HUSED,HTYPE,HTYPE1,HTYPE2,HTYPE3,HTYPE4,HTYPE5,HTYPE6,HTYPE7,HTYPE8,HTYPE9,HTYPE10,HTYPE11,HFREQUSE,SUM_ATT,SUM_NEED
1,1,23,1,1,NA,4,4,2,12500,1,2,5,5,5,5,5,5,2,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,40
2,1,19,1,1,NA,2,3,2,9000,1,2,3,2,5,4,4,2,1,2,2,5,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,40
3,1,99,2,2,2,4,2,2,30000,1,1,4,2,2,3,3,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
4,1,42,2,2,2,4,6,2,10000,1,3,4,2,4,2,4,4,2,5,3,2,2,4,5,4,4,3,3,3,3,3,1,3,3,3,4,2,2,0,0,0,0,0,1,0,0,1,1,0,5,43,29
5,2,51,2,2,2,3,6,2,7500,1,2,4,4,3,3,3,4,4,4,3,2,2,4,4,2,3,4,4,4,4,4,4,3,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38
6,2,42,1,1,NA,4,5,2,12000,1,2,4,4,3,4,4,4,2,5,4,2,2,4,4,4,4,2,4,4,4,3,3,3,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,32
7,2,38,2,9,NA,4,2,2,23330,1,1,4,3,3,3,4,3,3,4,5,2,1,3,4,5,4,4,4,4,3,4,3,4,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,36
8,2,41,1,1,NA,3,2,2,20870,2,1,5,4,2,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,3,52,38
9,1,30,1,1,NA,2,6,2,12000,2,3,4,3,4,3,3,3,3,3,4,3,2,4,3,3,3,3,4,4,4,4,3,3,3,4,3,2,2,0,0,1,0,1,1,0,0,0,1,0,5,46,35
10,2,33,2,2,2,2,6,2,13500,1,3,5,5,2,4,4,4,1,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40
11,2,31,1,1,NA,5,2,2,20010,1,1,5,3,2,3,3,4,2,5,4,4,4,3,4,4,2,4,3,4,3,3,4,3,4,3,4,2,2,0,0,0,0,0,0,0,0,0,1,0,2,48,35
12,1,31,1,1,NA,4,5,2,8000,1,2,5,3,3,3,4,4,3,4,4,4,2,2,5,4,3,3,4,4,4,3,2,4,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,35
